Tile ID,Matched Ratio
942160,0
7175,0
942162,0
997170,0
942165,0
942167,0
997172,0
942170,0
7177,0
942172,0
997175,0
997177,0
945132,0
7180,0
945135,0
997180,0
945137,0
945140,0
997182,0
945142,0
7182,0
945145,0
997185,0
945147,0
945150,0
997187,0
945152,0
7185,0
945155,0
997190,0
945157,0
945160,0
997192,0
945162,0
7187,0
945165,0
997195,0
945167,0
945170,0
997197,0
945172,0
7190,0
997200,0
947132,0
997202,0
947135,0
7192,0
947137,0
997205,0
947140,0
947142,0
997207,0
947145,0
7195,0
947147,0
997210,0
947150,0
35177,0
947152,0
997212,0
947155,0
7197,0
947157,0
947160,0
947162,0
947165,0
7200,0
947167,0
997220,0
947170,0
35180,0
947172,0
997222,0
7202,0
997225,0
950137,0
950140,0
7205,0
950142,0
997232,0
950145,0
35182,0
950147,0
997235,0
950150,0
7207,0
950152,0
997237,0
950155,0
950157,0
997240,0
950160,0
7210,0
950162,0
997242,0
950165,0
35185,0
950167,0
950170,0
7212,0
950172,0
950175,0
7215,0
35187,0
7217,0
952137,0
952140,0
7220,0
952142,0
35190,0
952145,0
7222,0
952147,0
952150,0
7225,0
952152,0
35192,0
952155,0
7227,0
952157,0
952160,0
7230,0
952162,0
35195,0
952165,0
7232,0
952167,0
952170,0
7235,0
952172,0
35197,0
7237,0
7240,0
955140,0
35200,0
955142,0
7242,0
955145,0
955147,0
7245,0
955150,0
35202,0
955152,0
7247,0
955155,0
955157,0
7250,0
955160,0
35205,0
955162,0
7252,0
955165,0
955167,0
7255,0
955170,0
35207,0
955172,0
7257,0
7260,0
35210,0
957142,0
7262,0
957147,0
957150,0
7265,0
957152,0
35212,0
957155,0
7267,0
957157,0
957160,0
957162,0
35215,0
957165,0
7272,0
957170,0
957172,0
35217,0
957175,0
50155,0
35220,0
50157,0
960147,0
960150,0
50160,0
960152,0
35222,0
960155,0
50162,0
960157,0
960160,0
50165,0
960162,0
35225,0
960165,0
50167,0
960167,0
960170,0
960172,0
35227,0
960175,0
50177,0
962150,0
962152,0
50180,0
962155,0
962157,0
50182,0
962160,0
962162,0
50185,0
962165,0
35235,0
962167,0
50187,0
962170,0
962172,0
50190,0
35237,0
50192,0
50195,0
35240,0
50197,0
965152,0
965155,0
50200,0
965157,0
965160,0
50202,0
965162,0
50205,0
35245,0
50207,0
50210,0
35247,0
50212,0
50215,0
35250,0
967155,0
50217,0
967157,0
967160,0
50220,0
50222,0
35255,0
35257,0
35260,0
35262,0
52155,0
972162,0
52157,0
972165,0
972167,0
52160,0
972170,0
972172,0
52162,0
37152,0
52165,0
52167,0
972192,0
37155,0
52170,0
52172,0
975157,0
975160,0
52175,0
975162,0
975165,0
52177,0
975167,0
975170,0
52180,0
975172,0
975175,0
52182,0
37172,0
52185,0
52187,0
52190,0
52192,0
52195,0
977157,0
52197,0
977160,0
977162,0
52200,0
977165,0
977167,0
52202,0
977170,0
977172,0
52205,0
977175,0
977177,0
52207,0
977180,0
977182,0
52210,0
977185,0
977187,0
52212,0
977190,0
52215,0
977197,0
52217,0
52220,0
52222,0
980147,0
980150,0
980157,0
980160,0
980162,0
980165,0
980167,0
980170,0
980172,0
980175,0
55152,0
980177,0
980180,0
55155,0
980182,0
980185,0
55157,0
980187,0
980190,0
55160,0
980192,0
980195,0
980197,0
980200,0
55165,0
980205,0
55167,0
980210,0
55170,0
55172,0
982147,0
55175,0
982150,0
982152,0
55177,0
982155,0
982157,0
55182,0
982160,0
982162,0
55185,0
982165,0
982167,0
55187,0
982170,0
982172,0
55190,0
982175,0
982177,0
55192,0
982180,0
982182,0
55195,0
982185,0
982187,0
55197,0
982190,0
982192,0
55200,0
982195,0
982197,0
55202,0
982200,0
982202,0
55205,0
982205,0
982207,0
55207,0
982212,0
55210,0
982215,0
982217,0
55212,0
55215,0
985147,0
985150,0
985152,0
985155,0
57175,0
985157,0
985160,0
57177,0
985162,0
985165,0
57180,0
985167,0
985170,0
57182,0
985172,0
57185,0
985180,0
985182,0
57187,0
985185,0
985187,0
57190,0
985190,0
985192,0
57192,0
985195,0
985200,0
57195,0
985210,0
985212,0
57197,0
985215,0
985217,0
57200,0
57202,0
57205,0
987147,0
987150,0
57207,0
987152,0
987155,0
57210,0
987157,0
987160,0
57212,0
987162,0
987165,0
57215,0
987167,0
987170,0
57217,0
987172,0
987175,0
57220,0
987177,0
987180,0
60175,0
987182,0
987185,0
60177,0
987187,0
987190,0
987192,0
60182,0
987210,0
60185,0
60187,0
60190,0
60192,0
60195,0
60202,0
60205,0
60207,0
60210,0
60212,0
60215,0
60217,0
62202,0
62205,0
62207,0
62210,0
62212,0
62215,0
65202,0
65205,0
65207,0
65210,0
65212,0
67207,0
